target,kd_diff,kd_ratio,kd_dominance,str_diff,str_ratio,str_dominance,td_diff,td_ratio,td_dominance,sub_diff,sub_ratio,sub_dominance,striking_volume_advantage,striking_dominance,knockdown_power,submission_threat,streak_diff,win_rate_diff,exp_diff
0.0,0,0.0,0,-5,0.9633357296908699,0,-3,0.3921568627450981,0,2,20.0,1,-7.5,0,0,3.6,0,0.0,0
0.0,0,0.0,0,4,2.857142857142857,1,0,0.0,0,0,0.0,0,6.0,2,0,0.0,0,0.0,0
0.0,0,0.0,0,-19,0.32028469750889677,0,-1,0.0,0,1,10.0,1,-28.5,0,0,1.8,0,0.0,0
0.0,-1,0.0,0,-74,0.447427293064877,0,-2,0.3225806451612903,0,0,0.0,0,-111.0,0,-2,0.0,0,0.0,0
0.0,-1,0.0,0,-1,0.8791208791208791,0,0,0.0,0,0,0.0,0,-1.5,0,-2,0.0,0,0.0,0
0.0,-1,0.0,0,-7,0.8136482939632546,0,-1,0.0,0,-1,0.0,0,-10.5,0,-2,-1.8,0,0.0,0
1.0,0,0.0,0,34,2.6066350710900474,1,1,1.4285714285714286,1,0,0.0,0,51.0,2,0,0.0,0,0.0,0
0.0,-1,0.0,0,-27,0.12861736334405144,0,-2,0.0,0,-2,0.0,0,-40.5,0,-2,-3.6,0,0.0,0
0.0,0,0.0,0,11,1.1413748378728925,1,0,0.9090909090909091,0,0,0.0,0,16.5,2,0,0.0,0,0.0,0
0.0,-2,0.0,0,-29,0.2557544757033248,0,0,0.0,0,0,0.0,0,-43.5,0,-4,0.0,0,0.0,0
1.0,1,1.8181818181818181,1,-8,0.7308970099667774,0,0,0.0,0,0,0.0,0,-12.0,0,2,0.0,0,0.0,0
1.0,0,0.0,0,-1,0.6451612903225806,0,1,10.0,1,1,10.0,1,-1.5,0,0,1.8,0,0.0,0
0.0,-1,0.0,0,-9,0.6642066420664207,0,0,0.0,0,0,0.0,0,-13.5,0,-2,0.0,0,0.0,0
1.0,0,0.0,0,32,4.158415841584159,1,2,20.0,1,-1,0.47619047619047616,0,48.0,2,0,-1.8,0,0.0,0
0.0,0,0.0,0,-16,0.7766990291262137,0,0,0.0,0,0,0.0,0,-24.0,0,0,0.0,0,0.0,0
1.0,1,10.0,1,11,6.19047619047619,1,0,0.0,0,0,0.0,0,16.5,2,2,0.0,0,0.0,0
0.0,-1,0.0,0,4,1.2582781456953642,1,0,0.0,0,0,0.0,0,6.0,2,-2,0.0,0,0.0,0
1.0,2,20.0,1,4,1.639344262295082,1,0,0.0,0,0,0.0,0,6.0,2,4,0.0,0,0.0,0
0.0,-2,0.0,0,-43,0.12219959266802444,0,1,10.0,1,0,0.9090909090909091,0,-64.5,0,-4,0.0,0,0.0,0
0.0,-1,0.0,0,-7,0.49645390070921985,0,4,40.0,1,0,0.0,0,-10.5,0,-2,0.0,0,0.0,0
1.0,0,0.0,0,6,1.2935323383084576,1,-4,0.0,0,0,0.0,0,9.0,2,0,0.0,0,0.0,0
0.0,0,0.0,0,4,1.1080332409972298,1,1,1.4285714285714286,1,-1,0.0,0,6.0,2,0,-1.8,0,0.0,0
1.0,1,10.0,1,6,60.0,1,1,10.0,1,1,10.0,1,9.0,2,2,1.8,0,0.0,0
0.0,0,0.0,0,-8,0.8280254777070063,0,-2,0.0,0,0,0.0,0,-12.0,0,0,0.0,0,0.0,0
1.0,1,10.0,1,2,2.727272727272727,1,0,0.0,0,0,0.0,0,3.0,2,2,0.0,0,0.0,0
1.0,0,0.0,0,7,1.1564625850340136,1,0,0.9090909090909091,0,1,10.0,1,10.5,2,0,1.8,0,0.0,0
0.0,0,0.0,0,-18,0.6313645621181263,0,0,0.0,0,0,0.0,0,-27.0,0,0,0.0,0,0.0,0
0.0,0,0.0,0,-12,0.5980066445182723,0,-4,0.0,0,0,0.0,0,-18.0,0,0,0.0,0,0.0,0
1.0,0,0.0,0,9,1.277258566978193,1,5,50.0,1,0,0.0,0,13.5,2,0,0.0,0,0.0,0
0.0,-1,0.0,0,-16,0.33195020746887965,0,0,0.0,0,0,0.0,0,-24.0,0,-2,0.0,0,0.0,0
0.0,-1,0.0,0,-9,0.5687203791469194,0,2,20.0,1,0,0.0,0,-13.5,0,-2,0.0,0,0.0,0
0.0,-1,0.0,0,0,0.9677419354838709,0,0,0.0,0,0,0.0,0,0.0,0,-2,0.0,0,0.0,0
1.0,1,10.0,1,53,3.1950207468879666,1,2,20.0,1,1,10.0,1,79.5,2,2,1.8,0,0.0,0
0.0,0,0.0,0,-38,0.5771365149833518,0,2,20.0,1,-1,0.0,0,-57.0,0,0,-1.8,0,0.0,0
1.0,0,0.0,0,6,1.1279826464208242,1,1,1.8181818181818181,1,1,10.0,1,9.0,2,0,1.8,0,0.0,0
0.0,0,0.0,0,-8,0.9048178613396005,0,-3,0.0,0,0,0.0,0,-12.0,0,0,0.0,0,0.0,0
1.0,1,10.0,1,8,80.0,1,0,0.0,0,1,10.0,1,12.0,2,2,1.8,0,0.0,0
1.0,0,0.0,0,5,1.6901408450704227,1,7,70.0,1,0,0.0,0,7.5,2,0,0.0,0,0.0,0
0.0,0,0.0,0,-59,0.48653344917463076,0,-4,0.0,0,0,0.0,0,-88.5,0,0,0.0,0,0.0,0
1.0,1,10.0,1,0,0.9981167608286252,0,2,20.0,1,0,0.0,0,0.0,0,2,0.0,0,0.0,0
0.0,0,0.0,0,26,1.6624040920716112,1,-5,0.0,0,0,0.0,0,39.0,2,0,0.0,0,0.0,0
1.0,1,10.0,1,2,1.0574018126888216,1,0,0.0,0,0,0.0,0,3.0,2,2,0.0,0,0.0,0
0.0,0,0.0,0,-1,0.7843137254901962,0,1,10.0,1,-1,0.0,0,-1.5,0,0,-1.8,0,0.0,0
0.0,-1,0.0,0,-6,0.2469135802469136,0,0,0.0,0,0,0.0,0,-9.0,0,-2,0.0,0,0.0,0
1.0,0,0.0,0,22,1.520190023752969,1,-1,0.0,0,0,0.0,0,33.0,2,0,0.0,0,0.0,0
1.0,1,10.0,1,-4,0.8487084870848708,0,-1,0.47619047619047616,0,0,0.0,0,-6.0,0,2,0.0,0,0.0,0
0.0,0,0.0,0,-3,0.9381237524950099,0,-7,0.0,0,-1,0.0,0,-4.5,0,0,-1.8,0,0.0,0
0.0,0,0.0,0,-15,0.8160779537149818,0,-1,0.0,0,0,0.0,0,-22.5,0,0,0.0,0,0.0,0
0.0,0,0.0,0,-41,0.4868913857677903,0,0,0.0,0,0,0.0,0,-61.5,0,0,0.0,0,0.0,0
1.0,2,20.0,1,6,2.903225806451613,1,0,0.0,0,0,0.0,0,9.0,2,4,0.0,0,0.0,0
0.0,0,0.0,0,5,1.0922787193973635,1,-2,0.3225806451612903,0,0,0.0,0,7.5,2,0,0.0,0,0.0,0
0.0,0,0.0,0,1,1.033210332103321,1,-3,0.0,0,-1,0.0,0,1.5,2,0,-1.8,0,0.0,0
1.0,0,0.0,0,-24,0.5704099821746881,0,3,30.0,1,1,10.0,1,-36.0,0,0,1.8,0,0.0,0
1.0,1,10.0,1,31,15.714285714285714,1,0,0.0,0,0,0.0,0,46.5,2,2,0.0,0,0.0,0
1.0,1,10.0,1,-4,0.7453416149068323,0,0,0.0,0,0,0.0,0,-6.0,0,2,0.0,0,0.5,1
1.0,0,0.0,0,14,1.7679558011049723,1,-3,0.49180327868852464,0,3,30.0,1,21.0,2,0,5.4,0,0.0,0
0.0,0,0.0,0,-1,0.0,0,0,0.0,0,-3,0.0,0,-1.5,0,0,-5.4,0,0.0,0
1.0,0,0.0,0,25,5.081967213114754,1,3,30.0,1,2,20.0,1,37.5,2,0,3.6,0,0.0,0
1.0,0,0.0,0,-5,0.9106830122591943,0,-1,0.0,0,1,10.0,1,-7.5,0,0,1.8,0,0.0,0
1.0,1,10.0,1,3,1.2056737588652482,1,0,0.0,0,1,10.0,1,4.5,2,2,1.8,0,0.0,0
1.0,0,0.0,0,8,1.5231788079470199,1,-1,0.6451612903225806,0,0,0.0,0,12.0,2,0,0.0,0,0.0,0
1.0,0,0.0,0,5,1.9607843137254903,1,2,2.727272727272727,1,1,10.0,1,7.5,2,0,1.8,0,0.0,0
0.0,0,0.0,0,-37,0.4025764895330113,0,2,20.0,1,1,10.0,1,-55.5,0,0,1.8,0,0.0,0
1.0,0,0.0,0,53,1.6216216216216217,1,0,0.9090909090909091,0,0,0.0,0,79.5,2,0,0.0,0,0.0,0
0.0,0,0.0,0,-32,0.11080332409972299,0,-4,0.0,0,0,0.0,0,-48.0,0,0,0.0,0,0.0,0
1.0,0,0.0,0,35,2.390438247011952,1,5,50.0,1,2,20.0,1,52.5,2,0,3.6,0,0.0,0
0.0,0,0.0,0,-3,0.8970099667774086,0,0,0.0,0,0,0.0,0,-4.5,0,0,0.0,0,0.0,0
0.0,0,0.0,0,-12,0.8975444538526672,0,7,4.285714285714286,1,0,0.0,0,-18.0,0,0,0.0,0,0.0,0
1.0,-1,0.0,0,12,1.5920398009950247,1,11,110.0,1,-1,0.0,0,18.0,2,-2,-1.8,0,0.0,0
1.0,0,0.0,0,15,2.6373626373626373,1,-7,0.0,0,0,0.0,0,22.5,2,0,0.0,0,0.0,0
0.0,-1,0.0,0,6,2.903225806451613,1,0,0.0,0,0,0.0,0,9.0,2,-2,0.0,0,0.0,0
0.0,-1,0.0,0,-4,0.7092198581560284,0,0,0.0,0,0,0.0,0,-6.0,0,-2,0.0,0,0.0,0
1.0,0,0.0,0,13,1.1651728553137004,1,5,50.0,1,0,0.0,0,19.5,2,0,0.0,0,0.0,0
1.0,0,0.0,0,10,1.1373092926490986,1,-3,0.0,0,0,0.0,0,15.0,2,0,0.0,0,0.0,0
1.0,0,0.0,0,2,1.6129032258064515,1,1,10.0,1,1,10.0,1,3.0,2,0,1.8,0,0.0,0
1.0,0,0.9090909090909091,0,-35,0.738255033557047,0,2,20.0,1,0,0.0,0,-52.5,0,0,0.0,0,0.0,0
1.0,0,0.0,0,81,5.469613259668508,1,9,90.0,1,0,0.0,0,121.5,2,0,0.0,0,0.0,0
0.0,0,0.0,0,-11,0.6312292358803986,0,7,70.0,1,0,0.0,0,-16.5,0,0,0.0,0,0.0,0
0.0,-1,0.0,0,-36,0.4186795491143317,0,0,0.9523809523809523,0,1,10.0,1,-54.0,0,-2,1.8,0,0.0,0
0.0,0,0.0,0,-13,0.4072398190045249,0,2,2.727272727272727,1,0,0.9090909090909091,0,-19.5,0,0,0.0,0,0.0,0
0.0,0,0.0,0,3,1.0590631364562118,1,0,0.9090909090909091,0,-1,0.0,0,4.5,2,0,-1.8,0,0.0,0
0.0,1,10.0,1,-25,0.6905055487053021,0,0,0.0,0,0,0.0,0,-37.5,0,2,0.0,0,0.0,0
1.0,0,0.0,0,14,7.619047619047619,1,0,0.0,0,0,0.0,0,21.0,2,0,0.0,0,0.0,0
1.0,1,10.0,1,16,2.7472527472527473,1,0,0.0,0,1,10.0,1,24.0,2,2,1.8,0,0.0,0
1.0,1,10.0,1,20,1.4617169373549883,1,0,0.9523809523809523,0,0,0.0,0,30.0,2,2,0.0,0,0.0,0
0.0,0,0.0,0,-32,0.6137184115523466,0,0,0.0,0,0,0.0,0,-48.0,0,0,0.0,0,0.0,0
0.0,-1,0.0,0,-2,0.5882352941176471,0,0,0.0,0,0,0.0,0,-3.0,0,-2,0.0,0,0.0,0
1.0,1,10.0,1,15,1.4790996784565915,1,4,4.545454545454545,1,1,10.0,1,22.5,2,2,1.8,0,0.0,0
0.0,0,0.0,0,-6,0.9384460141271443,0,0,0.0,0,0,0.0,0,-9.0,0,0,0.0,0,0.0,0
1.0,0,0.0,0,36,2.4896265560165975,1,3,30.0,1,1,10.0,1,54.0,2,0,1.8,0,0.0,0
0.0,0,0.0,0,-78,0.23506366307541626,0,3,3.6363636363636362,1,0,0.0,0,-117.0,0,0,0.0,0,0.0,0
1.0,1,10.0,1,57,2.351543942992874,1,0,0.9523809523809523,0,0,0.0,0,85.5,2,2,0.0,0,0.0,0
1.0,0,0.0,0,-7,0.6077348066298343,0,0,0.9090909090909091,0,1,10.0,1,-10.5,0,0,1.8,0,0.0,0
1.0,0,0.0,0,-7,0.7641196013289037,0,1,1.8181818181818181,1,0,0.0,0,-10.5,0,0,0.0,0,0.0,0
0.0,0,0.0,0,-59,0.3367003367003367,0,-1,0.0,0,-1,0.0,0,-88.5,0,0,-1.8,0,0.0,0
0.0,0,0.0,0,-28,0.034364261168384876,0,-3,0.0,0,-2,0.0,0,-42.0,0,0,-3.6,0,0.0,0
0.0,0,0.0,0,0,0.9090909090909091,0,-1,0.0,0,2,2.727272727272727,1,0.0,0,0,3.6,0,0.0,0
0.0,-2,0.0,0,-21,0.2990033222591362,0,0,0.0,0,0,0.0,0,-31.5,0,-4,0.0,0,0.0,0
1.0,0,0.0,0,-2,0.7042253521126761,0,1,10.0,1,1,10.0,1,-3.0,0,0,1.8,0,0.0,0
1.0,2,20.0,1,15,1.9254658385093166,1,1,10.0,1,0,0.0,0,22.5,2,4,0.0,0,0.0,0
1.0,0,0.0,0,30,5.901639344262295,1,2,20.0,1,1,10.0,1,45.0,2,0,1.8,0,0.0,0
1.0,0,0.0,0,70,2.549889135254989,1,1,1.4285714285714286,1,0,0.0,0,105.0,2,0,0.0,0,0.0,0
1.0,0,0.0,0,65,1.9001386962552012,1,-1,0.0,0,0,0.0,0,97.5,2,0,0.0,0,0.0,0
1.0,0,0.0,0,3,1.1374407582938388,1,2,2.727272727272727,1,1,10.0,1,4.5,2,0,1.8,0,0.0,0
0.0,0,0.0,0,-24,0.14234875444839856,0,0,0.0,0,0,0.0,0,-36.0,0,0,0.0,0,0.0,0
1.0,0,0.0,0,34,1.4232209737827717,1,20,200.0,1,0,0.0,0,51.0,2,0,0.0,0,0.5,1
1.0,1,10.0,1,5,1.0741301059001513,1,0,0.0,0,0,0.0,0,7.5,2,2,0.0,0,0.0,0
0.0,0,0.0,0,0,0.0,0,-1,0.0,0,-1,0.0,0,0.0,0,0,-1.8,0,0.0,0
0.0,-1,0.0,0,5,1.8032786885245902,1,1,10.0,1,-1,0.47619047619047616,0,7.5,2,-2,-1.8,0,0.0,0
1.0,1,10.0,1,6,60.0,1,1,10.0,1,0,0.0,0,9.0,2,2,0.0,0,0.0,0
1.0,1,10.0,1,-4,0.8681672025723473,0,1,10.0,1,0,0.0,0,-6.0,0,2,0.0,0,0.0,0
0.0,0,0.0,0,-9,0.8026030368763557,0,5,50.0,1,-3,0.0,0,-13.5,0,0,-5.4,0,0.0,0
1.0,1,10.0,1,10,1.6556291390728477,1,-1,0.0,0,0,0.0,0,15.0,2,2,0.0,0,0.0,0
1.0,0,0.0,0,30,4.285714285714286,1,4,40.0,1,-1,0.47619047619047616,0,45.0,2,0,-1.8,0,0.0,0
0.0,0,0.0,0,-11,0.8294930875576038,0,2,20.0,1,1,10.0,1,-16.5,0,0,1.8,0,0.0,0
0.0,0,0.0,0,-10,0.754257907542579,0,-1,0.47619047619047616,0,0,0.0,0,-15.0,0,0,0.0,0,0.0,0
1.0,0,0.0,0,16,4.11764705882353,1,-3,0.0,0,2,20.0,1,24.0,2,0,3.6,0,0.0,0
1.0,1,10.0,1,17,1.7647058823529411,1,-3,0.0,0,1,10.0,1,25.5,2,2,1.8,0,0.0,0
1.0,1,10.0,1,6,2.1568627450980395,1,0,0.0,0,0,0.0,0,9.0,2,2,0.0,0,0.0,0
1.0,0,0.0,0,2,1.188118811881188,1,2,20.0,1,1,10.0,1,3.0,2,0,1.8,0,0.0,0
1.0,0,0.0,0,22,1.5081206496519721,1,3,30.0,1,1,10.0,1,33.0,2,0,1.8,0,0.0,0
0.0,0,0.0,0,-13,0.5787781350482315,0,-3,0.0,0,2,2.727272727272727,1,-19.5,0,0,3.6,0,0.0,0
1.0,0,0.0,0,11,1.7218543046357617,1,1,10.0,1,1,10.0,1,16.5,2,0,1.8,0,0.0,0
1.0,0,0.0,0,38,1.8793503480278422,1,-1,0.47619047619047616,0,0,0.0,0,57.0,2,0,0.0,0,0.0,0
1.0,1,10.0,1,5,1.6901408450704227,1,0,0.0,0,0,0.0,0,7.5,2,2,0.0,0,0.0,0
1.0,0,0.0,0,-3,0.9327548806941431,0,3,30.0,1,-1,0.0,0,-4.5,0,0,-1.8,0,0.0,0
1.0,0,0.0,0,19,1.4385150812064964,1,1,1.8181818181818181,1,1,10.0,1,28.5,2,0,1.8,0,0.0,0
1.0,0,0.0,0,-7,0.8523908523908523,0,5,50.0,1,-1,0.0,0,-10.5,0,0,-1.8,0,0.0,0
1.0,0,0.0,0,26,9.35483870967742,1,0,0.0,0,0,0.0,0,39.0,2,0,0.0,0,0.0,0
0.0,0,0.0,0,-14,0.6802721088435374,0,-5,0.0,0,-1,0.0,0,-21.0,0,0,-1.8,0,0.0,0
1.0,1,10.0,1,31,1.716937354988399,1,3,30.0,1,0,0.0,0,46.5,2,2,0.0,0,0.0,0
0.0,0,0.0,0,-13,0.789049919484702,0,0,0.0,0,0,0.0,0,-19.5,0,0,0.0,0,0.0,0
1.0,1,10.0,1,26,1.3978494623655915,1,1,1.8181818181818181,1,2,20.0,1,39.0,2,2,3.6,0,0.0,0
1.0,1,10.0,1,-7,0.889235569422777,0,-1,0.0,0,0,0.0,0,-10.5,0,2,0.0,0,0.0,0
1.0,1,10.0,1,7,1.2987012987012987,1,0,0.0,0,0,0.0,0,10.5,2,2,0.0,0,0.0,0
1.0,2,20.0,1,3,1.2396694214876034,1,0,0.0,0,0,0.0,0,4.5,2,4,0.0,0,0.0,0
0.0,0,0.0,0,-7,0.5590062111801242,0,-2,0.0,0,-1,0.0,0,-10.5,0,0,-1.8,0,0.0,0
0.0,-1,0.0,0,-4,0.8366533864541832,0,4,40.0,1,-1,0.0,0,-6.0,0,-2,-1.8,0,0.0,0
1.0,0,0.0,0,-3,0.8658008658008658,0,3,30.0,1,-1,0.0,0,-4.5,0,0,-1.8,0,0.0,0
1.0,0,0.0,0,20,1.30568356374808,1,1,10.0,1,0,0.0,0,30.0,2,0,0.0,0,0.0,0
0.0,0,0.0,0,-1,0.6451612903225806,0,0,0.0,0,0,0.0,0,-1.5,0,0,0.0,0,1.0,0
0.0,0,0.0,0,-30,0.2850356294536817,0,-1,0.47619047619047616,0,2,20.0,1,-45.0,0,0,3.6,0,0.0,0
1.0,0,0.0,0,8,1.2129380053908356,1,0,0.0,0,1,10.0,1,12.0,2,0,1.8,0,0.0,0
0.0,-1,0.0,0,-29,0.2557544757033248,0,0,0.9090909090909091,0,0,0.0,0,-43.5,0,-2,0.0,0,0.0,0
1.0,0,0.0,0,15,1.2254160363086235,1,0,0.0,0,0,0.0,0,22.5,2,0,0.0,0,0.0,0
1.0,0,0.0,0,12,3.3333333333333335,1,3,30.0,1,1,10.0,1,18.0,2,0,1.8,0,-0.5,1
1.0,0,0.0,0,16,3.6065573770491803,1,0,0.0,0,0,0.0,0,24.0,2,0,0.0,0,0.0,0
0.0,0,0.9090909090909091,0,-19,0.6654991243432574,0,-2,0.0,0,-1,0.0,0,-28.5,0,0,-1.8,0,0.0,0
1.0,1,10.0,1,12,1.3595166163141994,1,1,10.0,1,0,0.0,0,18.0,2,2,0.0,0,0.0,0
1.0,0,0.0,0,15,1.4369501466275658,1,0,0.9523809523809523,0,0,0.0,0,22.5,2,0,0.0,0,0.0,0
1.0,0,0.0,0,12,3.3333333333333335,1,2,20.0,1,0,0.0,0,18.0,2,0,0.0,0,0.0,0
0.0,-1,0.0,0,-9,0.3053435114503817,0,0,0.0,0,0,0.0,0,-13.5,0,-2,0.0,0,-0.5,1
0.0,-1,0.0,0,-16,0.33195020746887965,0,0,0.0,0,0,0.0,0,-24.0,0,-2,0.0,0,0.0,0
1.0,0,0.0,0,7,1.3812154696132595,1,0,0.0,0,0,0.0,0,10.5,2,0,0.0,0,0.0,0
0.0,-1,0.0,0,-26,0.6167400881057269,0,0,0.9090909090909091,0,0,0.0,0,-39.0,0,-2,0.0,0,0.0,0
0.0,0,0.0,0,-18,0.21645021645021645,0,0,0.0,0,0,0.0,0,-27.0,0,0,0.0,0,0.0,0
0.0,0,0.0,0,-8,0.6161137440758293,0,-2,0.0,0,-1,0.0,0,-12.0,0,0,-1.8,0,0.0,0
1.0,1,10.0,1,30,2.487562189054726,1,0,0.0,0,0,0.0,0,45.0,2,2,0.0,0,0.0,0
0.0,0,0.0,0,-69,0.44319097502014504,0,-3,0.0,0,0,0.0,0,-103.5,0,0,0.0,0,0.0,0
1.0,0,0.0,0,16,1.352549889135255,1,0,0.0,0,0,0.0,0,24.0,2,0,0.0,0,-0.5,-2
1.0,0,0.0,0,57,4.534161490683229,1,0,0.0,0,0,0.0,0,85.5,2,0,0.0,0,0.0,0
1.0,0,0.0,0,25,12.857142857142856,1,1,10.0,1,0,0.0,0,37.5,2,0,0.0,0,0.0,0
