fighter1,fighter2,winner,event,weight_class
d661ce4da776fc20,c03520b5c88ed6b4,L,bd92cf5da5413d2a,Bantamweight
17e97649403ba428,a0f0004aadf10b71,L,bd92cf5da5413d2a,Flyweight
4461d7e47375a895,792be9a24df82ed6,L,bd92cf5da5413d2a,Flyweight
6e743a33d56bdaa4,056c493bbd76a918,L,bd92cf5da5413d2a,Bantamweight
99df7d0a2a08a8a8,ef5dcb10d2bd4b0f,D,bd92cf5da5413d2a,Light Heavyweight
2e7878927067fdca,99bd51917728c25d,L,bd92cf5da5413d2a,Lightweight
fd406a32a6fb3a29,809bd1a871491508,L,bd92cf5da5413d2a,Lightweight
6a740daf1b279661,9d62c2d8ee151f08,W,bd92cf5da5413d2a,Women's Flyweight
1e4f273069fb9e85,ff62013d2fce6d13,L,bd92cf5da5413d2a,Lightweight
1e719d4b676dc19a,7acbb0972e75281a,L,bd92cf5da5413d2a,Middleweight
4d8fa64202cee4c1,64a50dad704d1d49,L,bd92cf5da5413d2a,Lightweight
1c23ec2f1b71be40,6e8f1bcdda94ff45,W,bd92cf5da5413d2a,Light Heavyweight
841695e02c99a521,6d48a2df51749d91,W,bd92cf5da5413d2a,Middleweight
480779d7f9a424d3,8d11d9c13e2ccdf7,L,bd92cf5da5413d2a,Featherweight
eae48ff31db420c2,193b9d1858bc4df3,W,92c96df8bdab5fea,Lightweight
442c9011034ae1fd,b1b0729d27936f2f,L,92c96df8bdab5fea,Welterweight
0845c81e37d3bcb3,a495f599e787614f,W,92c96df8bdab5fea,Light Heavyweight
bf2c8e01b07d3eb1,0a1942069c9ad6b6,L,92c96df8bdab5fea,Welterweight
fc08099550072fe4,6747ccd6d1acd266,W,92c96df8bdab5fea,Heavyweight
98aa60cf58071fd6,f00ac08ab056af5d,L,92c96df8bdab5fea,Flyweight
b1de86d835638319,fb37795db81f93f3,L,92c96df8bdab5fea,Featherweight
9d19d9e4aa2662e8,de26d906f2874dd4,W,92c96df8bdab5fea,Welterweight
8d3273573b85be09,ab2b4ff41d6ebe0f,L,92c96df8bdab5fea,Flyweight
95aff2fd8d09a5f0,09a4447655fd4b7b,W,92c96df8bdab5fea,Light Heavyweight
4a6dff1b260bcf61,a4dc0f2b95df4cc1,L,92c96df8bdab5fea,Bantamweight
6a96ad1bc34fb113,d5bab53a1a603aac,W,92c96df8bdab5fea,Middleweight
ca28cdf526d6b6e9,52b6bf4528130e86,W,92c96df8bdab5fea,Lightweight
b5c19c34f12c917e,ac0874309da489b9,L,92c96df8bdab5fea,Heavyweight
275aca31f61ba28c,6b453bc35a823c3f,L,8db1b36dde268ef6,Welterweight
132deb59abae64b1,1ebe20ebbfa15e29,W,8db1b36dde268ef6,Women's Flyweight
c32aeb1a59e6272d,45f7cb591c3ab00b,L,8db1b36dde268ef6,Welterweight
